Cell habitat variables for Tailrace site
Official input file, June 2008
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide
676,0.00,5.00,0.00,0.00
677,0.02,3.75,0.01,0.01
678,0.02,3.75,0.01,0.01
679,0.20,0.50,0.00,0.20
680,0.01,5.00,0.00,0.00
681,0.01,5.00,0.00,0.00
682,0.01,5.00,0.00,0.00
683,0.03,1.50,0.01,0.05
684,0.03,1.50,0.01,0.05
685,0.20,0.50,0.00,0.20
686,0.03,1.50,0.01,0.05
687,0.03,1.50,0.01,0.05
688,0.03,1.50,0.01,0.05
689,0.02,3.75,0.01,0.01
690,0.02,3.75,0.01,0.01
691,0.02,3.75,0.01,0.01
692,0.02,3.75,0.01,0.01
693,0.02,3.75,0.01,0.01
694,0.02,3.75,0.01,0.01
695,0.15,3.00,0.00,0.10
696,0.40,0.30,0.00,0.30
697,0.15,3.00,0.00,0.10
698,0.15,3.00,0.00,0.10
699,0.15,3.00,0.00,0.10
700,0.01,4.00,0.05,0.01
701,0.15,3.00,0.00,0.10
702,0.15,3.00,0.00,0.10
703,0.15,3.00,0.00,0.10
704,0.15,3.00,0.00,0.10
705,0.02,3.75,0.01,0.01
706,0.02,3.75,0.01,0.01
707,0.02,3.75,0.01,0.01
708,0.20,0.50,0.00,0.20
709,0.01,5.00,0.00,0.00
710,0.01,5.00,0.00,0.00
711,0.01,5.00,0.00,0.00
712,0.01,5.00,0.00,0.00
713,0.03,1.50,0.00,0.05
714,0.03,1.50,0.00,0.05
715,0.03,1.50,0.01,0.05
716,0.03,1.50,0.01,0.05
717,0.03,1.50,0.00,0.05
718,0.03,1.50,0.01,0.05
719,0.15,3.00,0.00,0.10
720,0.15,1.00,0.00,0.15
721,0.15,1.00,0.00,0.15
722,0.15,1.00,0.00,0.15
723,0.03,1.50,0.00,0.05
724,0.03,1.50,0.00,0.05
725,0.03,1.50,0.00,0.05
726,0.20,0.20,0.00,0.50
727,0.01,3.00,0.00,0.01
728,0.03,1.50,0.00,0.05
729,0.03,1.50,0.00,0.05
730,0.03,1.50,0.00,0.05
731,0.15,1.00,0.00,0.15
732,0.15,1.00,0.00,0.15
733,0.15,1.00,0.00,0.15
734,0.15,1.00,0.00,0.15
735,0.15,1.00,0.00,0.15
736,0.15,1.00,0.00,0.15
737,0.15,1.00,0.00,0.15
738,0.15,1.00,0.00,0.15
739,0.03,1.50,0.00,0.05
740,0.03,1.50,0.00,0.05
741,0.20,0.20,0.00,0.50
742,0.20,0.20,0.00,0.50
743,0.01,3.00,0.00,0.01
744,0.01,3.00,0.00,0.01
745,0.15,1.00,0.00,0.15
746,0.00,0.00,0.00,0.00
747,0.15,1.00,0.00,0.15
748,0.15,1.00,0.00,0.15
749,0.15,1.00,0.00,0.15
750,0.20,0.96,0.00,0.10
751,0.03,3.00,0.01,0.05
752,0.03,3.00,0.01,0.05
753,0.03,3.00,0.01,0.05
754,0.20,0.20,0.00,0.50
755,0.03,3.00,0.01,0.05
756,0.03,3.00,0.01,0.05
757,0.00,0.00,0.00,0.00
758,0.00,0.00,0.00,0.00
759,0.20,0.96,0.00,0.10
760,0.00,0.00,0.00,0.00
761,0.20,0.96,0.00,0.10
