Little Hole final habitat variables file,,,,
SFR,6/12/2009 20:50,,,
CellNumber,FracShelt,DistHide,FracSpawn,FracHide
677,0,0.5,0.5,0.3
678,0.2,0.5,0,0.2
679,0.2,0.5,0,0.2
680,0.8,0,0,1
681,0.8,0,0,1
682,0.8,0,0,1
683,0.8,0,0,1
684,0.8,0,0,1
685,0.8,0,0,1
686,0.8,0,0,1
687,0.8,0,0,1
688,0.2,1.5,0.1,0.04
689,0.01,3,0.2,0.01
690,0.01,3,0.3,0.01
691,0.01,2,0,0.01
692,0.4,0,0,0.8
693,0.4,0,0,0.8
694,0.4,0,0,0.8
695,0.4,0,0,0.8
696,0.4,0,0,0.8
697,0.4,0,0,0.8
698,0.01,10,0,0
699,0.01,4.02,0,0.01
700,0.01,4.02,0,0.01
701,0.01,4.02,0,0.01
702,0.01,4.02,0,0.01
703,0.01,4.02,0,0.01
704,0,0.5,0.5,0.3
705,0,0.5,0.5,0.3
706,0,0.5,0.5,0.3
707,0.2,0.5,0,0.2
708,0,1,0.05,0.1
709,0.8,0,0,1
710,0.8,0,0,1
711,0.8,0,0,1
712,0.8,0,0,1
713,0.8,0,0,1
714,0.8,0,0,1
715,0.8,0,0,1
716,0.8,0,0,1
717,0.8,0,0,1
718,0.2,3,0.4,0.01
719,0.2,0.3,0,0.3
720,0.01,2,0,0.01
721,0.03,4,0.05,0
722,0.01,2,0,0.02
723,0.01,2,0,0.02
724,0.01,2,0,0.01
725,0.4,0,0,0.8
726,0.4,0,0,0.8
727,0.4,0,0,0.8
728,0.01,10,0,0
729,0.4,0,0,0.8
730,0.01,4.02,0,0.01
731,0.01,4.02,0,0.01
732,0.01,4.02,0,0.01
733,0.01,4.02,0,0.01
734,0.01,4.02,0,0.01
735,0.01,4.02,0,0.01
736,0.01,4.02,0,0.01
737,0.01,4.02,0,0.01
738,0.2,0.5,0,0.2
739,0.2,0.5,0,0.2
740,0.2,0.5,0,0.2
741,0,1,0.05,0.1
742,0.2,0.5,0,0.2
743,0,1,0.05,0.1
744,0,1,0.05,0.1
745,0.8,0,0,1
746,0.8,0,0,1
747,0.8,0,0,1
748,0.8,0,0,1
749,0.8,0,0,1
750,0.8,0,0,1
751,0.4,0.5,0,0.15
752,0.4,0.5,0,0.15
753,0.4,0.5,0,0.15
754,0.15,0.8,0,0.1
755,0,1,0,0.05
756,0.4,0,0,0.8
757,0.01,2,0,0.01
758,0.4,0,0,0.8
759,0.4,0,0,0.8
760,0.4,0,0,0.8
761,0.01,10,0,0
762,0.01,10,0,0
763,0.01,10,0,0
764,0.01,4.02,0,0.01
765,0.01,4.02,0,0.01
766,0.01,4.02,0,0.01
767,0.01,4.02,0,0.01
768,0.01,4.02,0,0.01
769,0.01,4.02,0,0.01
770,0.2,0.5,0,0.2
771,0.2,0.5,0,0.2
772,0.2,0.5,0,0.2
773,0.2,0.5,0,0.2
774,0.2,0.5,0,0.2
775,0.2,0.5,0,0.2
776,0.2,0.5,0,0.2
777,0,3,0,0.05
778,0,3,0,0.05
779,0.01,4.02,0,0.01
780,0.2,0.5,0,0.2
781,0.8,0,0,1
782,0.8,0,0,1
783,0.8,0,0,1
784,0.8,0,0,1
785,0.8,0,0,1
786,0.01,1.5,0,0.01
787,0.05,1.5,0,0.01
788,0.5,0.8,0,0.1
789,0,1,0,0.05
790,0,1,0,0.05
791,0.5,0.8,0,0.1
792,0.4,0,0,0.8
793,0.4,0,0,0.8
794,0.4,0,0,0.8
795,0.4,0,0,0.8
796,0.01,10,0,0
797,0.4,0,0,0.8
798,0.4,0,0,0.8
799,0.4,0,0,0.8
800,0.01,4.02,0,0.01
801,0.01,4.02,0,0.01
802,0.01,4.02,0,0.01
803,0,3,0,0.05
804,0.2,0.5,0,0.2
805,0.2,0.5,0,0.2
806,0.2,0.5,0,0.2
807,0.2,0.5,0,0.2
808,0.2,0.5,0,0.2
809,0.2,0.5,0,0.2
810,0.2,0.5,0,0.2
811,0,3,0,0.05
812,0,3,0,0.05
813,0,3,0,0.05
814,0.2,0.5,0,0.2
